Starting audit...
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:87: Line has trailing spaces. [RegexpSingleline]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:259:15: '80' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:259:19: '900' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:267:53: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:267:60: '0.01f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:267:76: '0.4f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:273:33: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:274:30: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:278:45: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:283:53: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:283:60: '0.01f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:283:76: '0.4f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:290:30: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:294:45: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:299:53: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:299:60: '0.01f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:299:76: '0.4f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:305:33: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:306:30: '1.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:310:45: '1.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:315:53: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:315:60: '0.01f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:315:76: '0.4f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:321:33: '1.15f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:322:30: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:326:45: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:331:24: '200' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:331:30: '30' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:333:22: '1.15f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:340:24: '100' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:340:30: '40' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:342:33: '1.15f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:355:15: '30' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:355:19: '400' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:366:21: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:366:28: '0.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:366:63: '0.3f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:369:24: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:371:31: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:373:40: '0.35f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:373:48: '0.02f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:373:65: '0.7' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:375:26: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:377:33: '1.3f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:383:45: '1.3f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:391:21: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:391:28: '0.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:391:63: '0.3f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:394:24: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:396:31: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:398:40: '0.35f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:398:48: '0.02f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:398:65: '0.7' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:400:26: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:402:33: '1.4f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:408:45: '1.4f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:416:21: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:416:28: '0.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:416:63: '0.3f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:419:24: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:421:31: '1.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:423:40: '0.35f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:423:48: '0.02f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:423:65: '0.7' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:425:26: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:441:21: '0.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:441:28: '0.05f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:441:63: '0.3f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:444:24: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:446:31: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:448:40: '0.35f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:448:48: '0.02f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:448:65: '0.7' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:450:26: '1.1f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:452:33: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:458:45: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:477:15: '40' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:477:19: '600' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:485:33: '1.25f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:486:30: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:490:45: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:492:30: '6' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:494:30: '3' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:499:33: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:500:30: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:504:45: '0.8f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:506:30: '6' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:508:30: '3' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:513:33: '1.25f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:514:30: '1.25f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:518:45: '1.25f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:520:30: '6' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:522:30: '3' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:527:33: '1.2f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:528:30: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:532:45: '0.9f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:534:30: '6' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:536:30: '3' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:541:24: '200' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:541:30: '20' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:542:49: '3' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:543:22: '1.5f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:547:22: '1.15f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:554:24: '40' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:554:29: '10' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:556:22: '1.15f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:563:24: '40' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:563:29: '10' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Player.java:565:33: '1.15f' is a magic number. [MagicNumber]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:0: File does not end with a newline. [NewlineAtEndOfFile]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:5:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:6:22: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:7:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:8:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:10:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:11:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:13:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:14:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:16:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:17:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:18:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:19:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:21:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:22:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:24:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:25:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:27:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:28:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:29:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/gameplay/Const.java:30:18: 'static' modifier out of order with the JLS suggestions. [ModifierOrder]
[ERROR] /home/horia/Desktop/plm/Etapa1OOP/main/GameInput.java:31:12: More than 7 parameters (found 9). [ParameterNumber]
Audit done.
Checkstyle ends with 160 errors.
